County,County FIPS,Investment Dollars
Kent,10001,62871.0
Kent,10001,33534.0
Kent,10001,139950.0
Kent,10001,264753.0
Kent,10001,206489.0
Kent,10001,613791.0
Kent,10001,508123.0
Kent,10001,1796196.0
Kent,10001,871900.0
Kent,10001,360000.0
Kent,10001,404040.0
Kent,10001,276828.0
Kent,10001,292929.0
Kent,10001,634343.0
Kent,10001,252323.0
Kent,10001,368686.0
Kent,10001,408535.0
Kent,10001,231919.0
Kent,10001,10000.0
Kent,10001,20000.0
Kent,10001,5300.0
Kent,10001,25000.0
New Castle,10003,420000.0
New Castle,10003,869200.0
New Castle,10003,373737.0
Sussex,10005,154961.0
Sussex,10005,71188.0
Sussex,10005,137400.0
Sussex,10005,250023.0
Sussex,10005,341817.0
Sussex,10005,67946.0
Sussex,10005,164950.0
Sussex,10005,270285.0
Sussex,10005,23592.0
Sussex,10005,294724.0
Sussex,10005,219152.0
Sussex,10005,136568.0
Sussex,10005,177370.0
Sussex,10005,197383.0
Sussex,10005,247573.0
Sussex,10005,125690.0
Sussex,10005,256628.0
Sussex,10005,471048.0
Sussex,10005,253290.0
Sussex,10005,9156.0
Sussex,10005,172400.0
Sussex,10005,149269.0
Sussex,10005,190085.0
Sussex,10005,180729.0
Sussex,10005,420147.0
Sussex,10005,997758.0
Sussex,10005,271858.0
Sussex,10005,205404.0
Sussex,10005,99827.0
Sussex,10005,154973.0
Sussex,10005,109675.0
Sussex,10005,219488.0
Sussex,10005,285000.0
Sussex,10005,1064000.0
Sussex,10005,1886290.0
Sussex,10005,1511730.0
Sussex,10005,305000.0
Sussex,10005,621211.0
Sussex,10005,267676.0
Sussex,10005,821211.0
Sussex,10005,560605.0
Sussex,10005,281818.0
Sussex,10005,129797.0
Sussex,10005,186868.0
Sussex,10005,282828.0
Sussex,10005,316656.0
Sussex,10005,206220.0
Sussex,10005,348484.0
Sussex,10005,297979.0
Sussex,10005,779796.0
Sussex,10005,290404.0
Alachua,12001,188705.0
Alachua,12001,7524.0
Alachua,12001,60856.0
Alachua,12001,108804.0
Alachua,12001,222685.0
Alachua,12001,357400.0
Alachua,12001,431600.0
Alachua,12001,226000.0
Alachua,12001,73328.0
Alachua,12001,264646.0
Alachua,12001,625722.0
Alachua,12001,295887.0
Alachua,12001,10000.0
Baker,12003,421514.0
Baker,12003,191919.0
Baker,12003,279797.0
Baker,12003,242424.0
Baker,12003,10000.0
Baker,12003,7388.0
Bay,12005,7704.0
Bay,12005,9756.0
Bay,12005,9540.0
Bay,12005,109824.0
Bay,12005,5616.0
Bay,12005,3648.0
Bay,12005,7836.0
Bay,12005,9600.0
Bay,12005,6948.0
Bay,12005,9756.0
Bay,12005,15408.0
Bay,12005,9756.0
Bay,12005,9756.0
Bay,12005,9756.0
Bay,12005,9756.0
Bay,12005,9756.0
Bay,12005,310757.0
Bay,12005,299103.0
Bay,12005,247474.0
Bay,12005,213131.0
Bay,12005,267676.0
Bay,12005,212121.0
Bradford,12007,338163.0
Bradford,12007,250479.0
Bradford,12007,119680.0
Bradford,12007,217110.0
Bradford,12007,96874.0
Bradford,12007,246464.0
Bradford,12007,227272.0
Bradford,12007,282828.0
Bradford,12007,131313.0
Bradford,12007,229292.0
Brevard,12009,47500.0
Broward,12011,1179146.0
Broward,12011,6120.0
Broward,12011,16872.0
Broward,12011,242250.0
Calhoun,12013,4956.0
Calhoun,12013,270707.0
Calhoun,12013,161616.0
Calhoun,12013,277777.0
Calhoun,12013,212121.0
Charlotte,12015,264311.0
Charlotte,12015,260707.0
Charlotte,12015,259595.0
Charlotte,12015,550357.0
Citrus,12017,218174.0
Citrus,12017,450179.0
Citrus,12017,135398.0
Citrus,12017,141150.0
Citrus,12017,1448433.0
Citrus,12017,117233.0
Citrus,12017,109365.0
Citrus,12017,206247.0
Citrus,12017,87343.0
Citrus,12017,846200.0
Citrus,12017,159324.0
Citrus,12017,284900.0
Citrus,12017,200000.0
Citrus,12017,165000.0
Citrus,12017,739280.0
Citrus,12017,268343.0
Citrus,12017,307828.0
Citrus,12017,231111.0
Citrus,12017,514645.0
Citrus,12017,328282.0
Citrus,12017,252525.0
Citrus,12017,308080.0
Citrus,12017,204040.0
Citrus,12017,1253532.0
Citrus,12017,212121.0
Citrus,12017,260101.0
Citrus,12017,160606.0
Citrus,12017,390908.0
Citrus,12017,202020.0
Citrus,12017,265656.0
Citrus,12017,257565.0
Citrus,12017,455575.0
Citrus,12017,252424.0
Citrus,12017,575560.0
Citrus,12017,186868.0
Citrus,12017,252525.0
Citrus,12017,188383.0
Citrus,12017,151515.0
Citrus,12017,212121.0
Citrus,12017,10000.0
Citrus,12017,48890.0
Citrus,12017,1250.0
Citrus,12017,3920.0
Citrus,12017,133870.0
Citrus,12017,8700.0
Clay,12019,196966.0
Clay,12019,298622.0
Clay,12019,242191.0
Clay,12019,303856.0
Clay,12019,217171.0
Clay,12019,292929.0
Clay,12019,612100.0
Clay,12019,635265.0
Clay,12019,317171.0
Clay,12019,348484.0
Clay,12019,203535.0
Clay,12019,191818.0
Clay,12019,292929.0
Clay,12019,334679.0
Clay,12019,272424.0
Clay,12019,10000.0
Clay,12019,1400.0
Collier,12021,414088.0
Collier,12021,361111.0
Collier,12021,11731.0
Collier,12021,393343.0
Collier,12021,302005.0
Collier,12021,1760633.0
Collier,12021,248007.0
Collier,12021,192659.0
Collier,12021,208974.0
Columbia,12023,3999200.0
Columbia,12023,99000.0
Columbia,12023,304293.0
Columbia,12023,222709.0
Columbia,12023,290220.0
Columbia,12023,189164.0
Columbia,12023,181288.0
Columbia,12023,326767.0
Columbia,12023,168631.0
Columbia,12023,166666.0
Columbia,12023,10000.0
Columbia,12023,4867.0
DeSoto,12027,317798.0
DeSoto,12027,259235.0
DeSoto,12027,160606.0
DeSoto,12027,393938.0
DeSoto,12027,186868.0
DeSoto,12027,608584.0
DeSoto,12027,31141.0
Dixie,12029,110303.0
Duval,12031,212121.0
Duval,12031,232323.0
Duval,12031,252515.0
Escambia,12033,822595.0
Escambia,12033,289017.0
Escambia,12033,315151.0
Escambia,12033,791615.0
Escambia,12033,217171.0
Escambia,12033,1029272.0
Escambia,12033,175000.0
Escambia,12033,194949.0
Flagler,12035,227470.0
Flagler,12035,8184.0
Flagler,12035,416994.0
Flagler,12035,180808.0
Flagler,12035,287878.0
Franklin,12037,218911.0
Franklin,12037,415850.0
Franklin,12037,307254.0
Gadsden,12039,274329.0
Gadsden,12039,21960.0
Gadsden,12039,7524.0
Gadsden,12039,259203.0
Gadsden,12039,257544.0
Gadsden,12039,9864.0
Gadsden,12039,8196.0
Gadsden,12039,7116.0
Gadsden,12039,15816.0
Gadsden,12039,6564.0
Gadsden,12039,5424.0
Gadsden,12039,14448.0
Gadsden,12039,8448.0
Gadsden,12039,279594.0
Gadsden,12039,7032.0
Gadsden,12039,8448.0
Gadsden,12039,9000.0
Gadsden,12039,9864.0
Gadsden,12039,7848.0
Gadsden,12039,226345.0
Gadsden,12039,230691.0
Gadsden,12039,9252.0
Gadsden,12039,303145.0
Gadsden,12039,256040.0
Gadsden,12039,9864.0
Gadsden,12039,9036.0
Gadsden,12039,262500.0
Gadsden,12039,240000.0
Gadsden,12039,61415.0
Gadsden,12039,297979.0
Gadsden,12039,368686.0
Gadsden,12039,182828.0
Gadsden,12039,148484.0
Gadsden,12039,93686.0
Gadsden,12039,30350.0
Gadsden,12039,40675.0
Gadsden,12039,152000.0
Gadsden,12039,6100.0
Gilchrist,12041,64000.0
Gilchrist,12041,191846.0
Gilchrist,12041,207070.0
Gilchrist,12041,342424.0
Gilchrist,12041,148484.0
Glades,12043,281818.0
Gulf,12045,240490.0
Gulf,12045,146589.0
Gulf,12045,304254.0
Hamilton,12047,157444.0
Hamilton,12047,206704.0
Hamilton,12047,254801.0
Hamilton,12047,146253.0
Hardee,12049,337532.0
Hardee,12049,596638.0
Hardee,12049,217171.0
Hardee,12049,251515.0
Hardee,12049,256565.0
Hardee,12049,189797.0
Hardee,12049,237373.0
Hardee,12049,492424.0
Hardee,12049,242424.0
Hendry,12051,286675.0
Hendry,12051,231414.0
Hendry,12051,356276.0
Hendry,12051,562625.0
Hendry,12051,261616.0
Hendry,12051,291717.0
Hendry,12051,383838.0
Hernando,12053,6120.0
Hernando,12053,6048.0
Hernando,12053,849.0
Hernando,12053,429620.0
Hernando,12053,378777.0
Hernando,12053,272727.0
Hernando,12053,285959.0
Hernando,12053,166565.0
Hernando,12053,814392.0
Hernando,12053,219922.0
Hernando,12053,303030.0
Hernando,12053,212474.0
Hernando,12053,318181.0
Hernando,12053,668584.0
Hernando,12053,40000.0
Highlands,12055,258052.0
Highlands,12055,191748.0
Highlands,12055,353604.0
Highlands,12055,255005.0
Highlands,12055,371327.0
Highlands,12055,27708.0
Highlands,12055,6000.0
Highlands,12055,348304.0
Highlands,12055,5136.0
Highlands,12055,5172.0
Highlands,12055,296736.0
Highlands,12055,395309.0
Highlands,12055,6492.0
Highlands,12055,202944.0
Highlands,12055,17268.0
Highlands,12055,600130.0
Highlands,12055,206550.0
Highlands,12055,339520.0
Highlands,12055,222222.0
Highlands,12055,303030.0
Highlands,12055,721210.0
Highlands,12055,3055070.0
Highlands,12055,254545.0
Highlands,12055,253535.0
Highlands,12055,282828.0
Highlands,12055,111111.0
Highlands,12055,1912724.0
Highlands,12055,446767.0
Highlands,12055,17800.0
Highlands,12055,6503.0
Highlands,12055,10800.0
Highlands,12055,109564.0
Highlands,12055,30421.0
Hillsborough,12057,297086.0
Hillsborough,12057,284000.0
Hillsborough,12057,287878.0
Hillsborough,12057,295959.0
Hillsborough,12057,444974.0
Hillsborough,12057,240000.0
Hillsborough,12057,582640.0
Hillsborough,12057,789128.0
Hillsborough,12057,281078.0
Hillsborough,12057,260400.0
Holmes,12059,236025.0
Holmes,12059,126619.0
Holmes,12059,134343.0
Holmes,12059,186868.0
Holmes,12059,124141.0
Indian River,12061,495895.0
Indian River,12061,515595.0
Indian River,12061,304307.0
Indian River,12061,437111.0
Indian River,12061,190909.0
Jackson,12063,162210.0
Jackson,12063,206012.0
Jackson,12063,235797.0
Jackson,12063,520110.0
Jackson,12063,214491.0
Jackson,12063,91000.0
Jackson,12063,200000.0
Jackson,12063,92929.0
Jackson,12063,227272.0
Jackson,12063,83333.0
Jackson,12063,207070.0
Jackson,12063,174747.0
Jackson,12063,262626.0
Jackson,12063,324746.0
Jackson,12063,7500.0
Jefferson,12065,148800.0
Jefferson,12065,219641.0
Jefferson,12065,276722.0
Jefferson,12065,186868.0
Jefferson,12065,176767.0
Jefferson,12065,342424.0
Jefferson,12065,80808.0
Lafayette,12067,6744.0
Lafayette,12067,183838.0
Lake,12069,602725.0
Lake,12069,87926.0
Lake,12069,292491.0
Lake,12069,581636.0
Lake,12069,313627.0
Lake,12069,3300.0
Lake,12069,283361.0
Lake,12069,13512.0
Lake,12069,7260.0
Lake,12069,200720.0
Lake,12069,10740.0
Lake,12069,172829.0
Lake,12069,8028.0
Lake,12069,251251.0
Lake,12069,7152.0
Lake,12069,2868.0
Lake,12069,6756.0
Lake,12069,746873.0
Lake,12069,240485.0
Lake,12069,232323.0
Lake,12069,238888.0
Lake,12069,227272.0
Lake,12069,238989.0
Lake,12069,242323.0
Lake,12069,257575.0
Lake,12069,9300.0
Lake,12069,19350.0
Lake,12069,4000.0
Lake,12069,12600.0
Lake,12069,275731.0
Lake,12069,149186.0
Lake,12069,202915.0
Lake,12069,242865.0
Lake,12069,331011.0
Lake,12069,9324.0
Lake,12069,7932.0
Lake,12069,269799.0
Lake,12069,231030.0
Lake,12069,3876.0
Lake,12069,3180.0
Lake,12069,314820.0
Lake,12069,420658.0
Lake,12069,151665.0
Lake,12069,232465.0
Lake,12069,311861.0
Lake,12069,220320.0
Lake,12069,13947.0
Lake,12069,189000.0
Lake,12069,232500.0
Lake,12069,425587.0
Lake,12069,343434.0
Lake,12069,504544.0
Lake,12069,202020.0
Lake,12069,312121.0
Lake,12069,424141.0
Lake,12069,282727.0
Lake,12069,241414.0
Lake,12069,16865.0
Lake,12069,9750.0
Lake,12069,550.0
Lake,12069,298918.0
Lake,12069,700.0
Lee,12071,428866.0
Lee,12071,10000.0
Leon,12073,7632.0
Leon,12073,9864.0
Leon,12073,7524.0
Leon,12073,423044.0
Leon,12073,597224.0
Leon,12073,9864.0
Leon,12073,9084.0
Leon,12073,9864.0
Leon,12073,5453.0
Leon,12073,398200.0
Leon,12073,819888.0
Leon,12073,202020.0
Leon,12073,517676.0
Leon,12073,201010.0
Leon,12073,211111.0
