id,companyName,companies_ID,meanBonus,meanHourly,medianBonus,medianHourly,reportLink,year,meanHourlyPT,medianHourlyPT,meanHourlyTemp,medianHourlyTemp,perBonusFemale,perBonusMale,perBIKFemale,perBIKMale,pb1Female,pb1Male,pb2Female,pb2Male,pb3Female,pb3Male,pb4Female,pb4Male,perEmployeesFemale,perEmployeesMale,comment
2,3M,1,20,7.4,-45,2,https://web.archive.org/web/20230404104551/https://multimedia.3m.com/mws/media/2264329O/ireland-gender-pay-gap-report-2022.pdf,2022,NULL,NULL,NULL,NULL,9,14,96,99,35,65,31,69,31,69,29,71,NULL,NULL,NULL
3,A&L Goodbody (excluding equity partners),2,41.6,20.9,35.1,22.7,https://www.algoodbody.com/files/uploads/news_insights_pub/ALG_Gender_Pay_Gap_Report_2022.PDF,2022,9.2,9.4,2.8,15.9,54.7,62.8,84.5,81.4,66.4,33.6,66.2,33.8,60.6,39.4,57.9,42.1,NULL,NULL,NULL
4,AA,3,-36,6,-51,16,https://www.theaa.ie/wp-content/uploads/2022/12/2022-AA-Ireland-Gender-Pay-Gap-Report_External-Final-Dec-2022-2.pdf,2022,-39,2,17,14,76,80,28,37,53,47,24,76,19,81,27,73,31,69,NULL
5,Abbott Ireland (all legal entities),4,23.2,12.2,5.7,7.7,https://www.ie.abbott/content/dam/corp/abbott/en-ie/documents/pdf/Gender-Gap-Infographic-Nov2022-CP-Abbott-Ireland.pdf,2022,-22,-19.3,4.7,-2.3,72.9,75.9,57.2,51.9,51.3,48.7,52,48,48.9,51.1,37.9,62.1,NULL,NULL,NULL
6,AbbVie Sligo,5,19.1,11.6,18.2,10.9,https://www.abbvie.ie/content/dam/abbvie-dotcom/ie/documents/AbbVie-Gender-Pay-Report-2022-AbbVie-Sligo-FINAL.pdf,2022,41.9,41.8,5.5,11.3,86,94,74.4,84.2,36.3,63.7,30.6,69.4,32.8,67.2,28.1,71.9,32,68,NULL
7,AbbVie Westport (Allergan),6,5.6,4.2,-56.4,10.9,https://www.abbvie.ie/content/dam/abbvie-dotcom/ie/documents/AbbVie-Gender-Pay-Report-2022-AbbVie-Westport-FINAL.pdf,2022,83.7,86.5,-3.3,-2.7,91.6,92.1,90.1,93.6,41.4,58.6,37.2,62.8,50.7,49.3,42.2,57.8,43,57,NULL
8,ABP Food Group: ABP Ireland,7,81.7,18.4,0,8.3,https://web.archive.org/web/20230403123714/https://www.abpireland.com/wp-content/uploads/2022/12/ABP-Ireland-GenderPayGap-Final-Report.pdf,2022,NULL,NULL,NULL,NULL,83,86.7,NULL,NULL,31.3,68.7,26.1,73.9,13.4,86.8,17,83,NULL,NULL,NULL
9,ABP Food Group: C&D Foods,8,71.4,20.4,0,0,https://cdfoods.com/wp-content/uploads/2023/12/CD-GenderPayGap-Final-Report-2022.pdf,2022,NULL,NULL,NULL,NULL,93,93.1,NULL,NULL,57.6,42.4,21,79,44.9,55.1,33.3,66.7,NULL,NULL,NULL
10,ABP Food Group: Irish Country Meats,9,64.8,15.1,0,7,https://irishcountrymeats.com/wp-content/uploads/2022/12/20221221_ICM-GenderPayGap-final-draft-report.pdf,2022,NULL,NULL,NULL,NULL,66.9,72.8,NULL,NULL,41.1,58.9,23,77,21.9,78.1,21.2,78.8,NULL,NULL,NULL
11,Abtran,10,25.8,12.6,0,1.5,https://web.archive.org/web/20230404121929/https://www.abtran.com/wp-content/uploads/2022/12/Abtran%20Gender%20Pay%20Gap%20Report%202022.pdf,2022,-24.31,-0.95,25.67,24.87,39.83,40.39,1.56,0.7,59.33,40.67,61.48,38.52,58.61,41.39,50,50,NULL,NULL,NULL
12,Accenture,11,27.64,9.05,2.23,1.34,https://web.archive.org/web/20230604082305/https://www.accenture.com/ie-en/about/inclusion-diversity/ireland-gender-pay-gap,2022,29.22,12.23,-0.78,-0.04,67,64,67,61,51,49,49,51,51,49,46,54,NULL,NULL,NULL
