year,meanBonus,meanHourly,medianBonus,medianHourly,meanHourlyPT,medianHourlyPT,meanHourlyTemp,medianHourlyTemp,perBonusFemale,perBonusMale,perBIKFemale,perBIKMale
2022,20,7.4,-45,2,NULL,NULL,NULL,NULL,9,14,96,99
2022,41.6,20.9,35.1,22.7,9.2,9.4,2.8,15.9,54.7,62.8,84.5,81.4
2022,-36,6,-51,16,-39,2,17,14,76,80,28,37
2022,23.2,12.2,5.7,7.7,-22,-19.3,4.7,-2.3,72.9,75.9,57.2,51.9
2022,19.1,11.6,18.2,10.9,41.9,41.8,5.5,11.3,86,94,74.4,84.2
2022,5.6,4.2,-56.4,10.9,83.7,86.5,-3.3,-2.7,91.6,92.1,90.1,93.6
2022,81.7,18.4,0,8.3,NULL,NULL,NULL,NULL,83,86.7,NULL,NULL
2022,71.4,20.4,0,0,NULL,NULL,NULL,NULL,93,93.1,NULL,NULL
2022,64.8,15.1,0,7,NULL,NULL,NULL,NULL,66.9,72.8,NULL,NULL
2022,25.8,12.6,0,1.5,-24.31,-0.95,25.67,24.87,39.83,40.39,1.56,0.7
2022,27.64,9.05,2.23,1.34,29.22,12.23,-0.78,-0.04,67,64,67,61
2022,-10.9,4.4,-42.9,1.6,NULL,NULL,NULL,NULL,38.5,36.7,NULL,NULL
2022,79.4,30.5,15.7,14.1,41,3.5,2.2,1.1,58.1,14.7,1.5,4.7
2022,72,56,54,28,NULL,NULL,19,41,91,93,95,98
2022,7.37,18.4,5.57,14.44,-4.16,-18.98,2.63,4.2,0.9,1.6,91.8,88.9
2022,48,26.5,33,25,NULL,NULL,-3,0,81,91,87,80
2022,29.3,23.9,9.6,14,NULL,NULL,NULL,NULL,100,100,100,100
2022,-13.7,1,4.1,3,-28.7,-14,1,-11.6,85.8,89,100,100
2022,-3,13.2,0,2.2,1.6,1.6,-7.6,-1.1,17,13,72,74
2022,48,4.5,74,37.5,-7,13.65,NULL,NULL,4,4,NULL,NULL
2022,45.8,19.8,10.7,13.9,-8.05,-7.53,7.01,-11.87,83.19,84.06,66.46,64.35
2022,14.3,4.3,20.9,6,43.5,42.9,-17.1,-26.9,79.7,78.4,82.7,88.1
2022,37.2,19.7,40.2,20.8,NULL,NULL,5,12.7,93.7,94.9,93.7,90.5
2022,12,7.8,16.7,8.6,0,0,0,0,87.2,85.7,86.1,79
2022,68.9,41,19.1,16.8,NULL,NULL,-2.5,-0.5,85.1,85.3,93.4,90.5
2022,NULL,4.81,NULL,3.94,-1.3,-2.01,NULL,NULL,NULL,NULL,NULL,NULL
2022,NULL,2.67,NULL,-15.54,-10.59,-7.19,-1.27,-0.71,NULL,NULL,NULL,NULL
2022,8.2,-0.86,10.9,0.49,-7.7,-7.28,2.3,1.92,10.58,6.64,0,0.1
2022,64.2,28.3,50.9,27.8,-0.5,-49.3,5.2,-28.8,86.1,85.3,93.2,94.6
2022,11,9,0,3,-45,-18,-4,-4,84,89,100,100
2022,57.84,7.8,50,0.86,1.4,1.3,NULL,NULL,25,20,2.8,2.6
2022,-203.9,-0.3,-214.2,-4.9,0,0,NULL,NULL,NULL,NULL,0,0
2022,0,0,100,100,0,0,NULL,NULL,NULL,NULL,0,0
2022,56.28,30.54,60.33,34.1,7.07,7.9,0,0,97.39,98.85,0,0.16
2022,72.89,42,45.88,50.38,0,0,0,0,84.62,83.72,0,32.56
2022,52.6,29.7,32.1,22.2,40.24,41.79,0.79,-28.67,83,78,2.45,5.18
2022,29.4,-0.6,9.8,1.5,0.9,0.9,NULL,NULL,3,1,0.3,0.2
2022,60.1,13.5,39.5,5.1,1,0.6,NULL,NULL,5.3,5.8,1.3,2.5
2022,-15.1,32.3,-29.6,28,4.8,1.7,41.3,1.2,1.4,6.8,1.6,30.5
2022,24,12,32,1.9,NULL,NULL,NULL,NULL,80,44,NULL,NULL
2022,88.9,8.9,100,6.2,-35.8,-63.9,-3.9,2.1,38,64,2.1,7.2
2022,39,52,31,17,NULL,NULL,NULL,NULL,92,79,38,35
2022,42.3,21.9,26.4,21.4,8.3,14.6,23.3,2.9,92.1,91.5,63.1,59.4
2022,-34.6,13.5,-28.06,10.57,23.09,20.1,0,0,25,50,1.25,0.57
2022,-13.5,4.3,5.7,14,NULL,NULL,8.7,25.8,NULL,NULL,88.2,91
2022,18.8,3.8,-8.5,0.5,NULL,NULL,NULL,NULL,88,93.4,100,100
2022,5,0.2,0.1,-11,-7,-5,4,5,57,56,4,4
2022,42.2,22.1,50.6,22.1,48,48,NULL,NULL,76.7,88.6,44.7,51.8
2022,39.8,26,37.7,28.4,72.1,72.5,0.7,-0.2,83.4,86.3,76.2,74.2
2022,3.6,11.9,19.8,10.3,45.7,45.7,20.5,0,93.4,94.7,88,89.7
2022,48.5,38.69,61.8,40.99,7.02,-6.57,-0.27,-5.26,29.5,43.8,100,79.6
2022,22,29.2,35.2,29.7,12.1,20.98,29.02,-24.79,25,42.4,98.5,73.4
2022,32,19,26,20,35,48,NULL,NULL,61,67,95,95
2022,NULL,20.5,NULL,17.1,-19.5,-34.8,-3.3,0,NULL,NULL,90.2,90.7
2022,61.7,33.9,33.3,19.9,NULL,NULL,NULL,NULL,88.2,91.3,100,100
2022,6.99,10.74,13.73,10.36,-3.35,-4.54,-0.58,0.54,83.11,83.22,74.72,71.95
2022,15,17,0,11,29,8,NULL,NULL,21,27,93,86
2022,7.3,-4,18.6,-0.2,15.2,12.4,-3.2,-3.8,85.4,81.5,92.3,93.6
2022,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,76,81
2022,2.8,3.2,8,6.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,37.7,10.9,-12,7.7,10.7,5.9,NULL,NULL,1.3,2.2,3.3,0.9
2022,27.4,14.7,-6.8,2.6,NULL,NULL,NULL,NULL,94.8,91.8,98.3,98.7
2022,50.13,16.52,10,1.22,23.73,9.41,25.64,14.34,72.41,55.56,0.12,0
2022,16,12,12,11,NULL,NULL,NULL,NULL,83,80,98,96
2022,49,25,19,14,-115,-115,NULL,NULL,81,75,95,96
2022,22,20,0,23,27,28,18,16,89,98,12,4
2022,38.1,9.3,8.2,6.4,31.1,56.4,3.8,12.1,93,85,95,86
2022,-21.5,-10.89,-16.8,-8.2,-52.78,-44.65,0,0,48.37,39.02,9.77,8.39
2022,27.4,12.3,13.9,8.8,-9.3,-3.5,-4.7,-0.5,86.5,86.5,80,80
2022,-35.4,0.6,-224.5,4.1,-46.4,-46.4,20.3,26.3,85.1,84.7,4.5,17.4
2022,48.5,10.6,23.9,0.2,-14.7,-16.4,2.8,-1.5,79.5,71.5,2.2,2.8
2022,32.9,11.3,10.7,19.7,47.9,19,-8.9,-11.8,68.4,79,90,84.2
