Company,Ticker,Stock Price,Market Cap,Last Quarter Filed,Last Quarter Revenue,Annualized Revenue,YoY Growth%,Revenue Multiple,Shares Outstanding (estimate),IPO Year,Year Founded,Founder(s),Headquarters,Last Quarter EBITDA,Annualized EBITDA,YoY Change in EBITDA%,EBITDA Margin,Last Quarter Net Income,Annualized Net Income,YoY Change in Net Income%,Net Income Margin,Cash and Short Term Investments,YoY Change in Cash and Short Term Investments%,Lead Investor(s) Pre-IPO,Pre-IPO Venture Funding Estimate,Employee Count (estimate),Annual Revenue per Employee (estimate),Product Description,September 2024 Website Traffic (Estimate),YoY Change in Website Traffic%,Company Website,Company Investor Relations Page,S-1 Filing,2023 10-K Filing
Adobe,ADBE,$447.94,197183.0,Nov 2024,"$5,610,000,000","$22,440,000,000",11.05%,8.79,"440,199,580",1986,1982,"John Warnock, Charles Geschke",San Jose,"$2,180,000,000","$8,720,000,000",10.69%,38.86%,"$1,680,000,000","$6,720,000,000",13.49%,29.95%,"$7,890,000,000",0.56%,Sequoia Capital,$2.5 million,29800,"$753,000","Applications for graphic design, video editing, web development, and document management.","","",http://www.adobe.com,http://www.adobe.com/investor-relations,"",https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm
Amplitude,AMPL,$11.02,1362.0,Sep 2024,"$75,220,000","$300,880,000",6.48%,4.53,"123,593,466",2021,2012,"Spenser Skates, Curtis Liu, Jeffrey Wang",San Francisco,"-$18,640,000","-$74,560,000",4.30%,-24.78%,"-$16,850,000","-$67,400,000",5.03%,-22.40%,"$319,940,000",-0.48%,"Benchmark Capital, IVP (Institutional Venture Partners)",$186 million,720,"$417,900","Platform for the measurement, storage, and analysis of user behavior in apps and on websites.","","",http://www.amplitude.com,http://investors.amplitude.com,https://www.sec.gov/Archives/edgar/data/1866692/000119312521260696/d143868ds1.htm,https://www.sec.gov/Archives/edgar/data/1866692/000095017024017102/ampl-20231231.htm
AppLovin,APP,$341.83,114715.0,Sep 2024,"$1,200,000,000","$4,800,000,000",38.64%,23.9,"335,590,791",2021,2012,"Adam Foroughi, Andrew Karam",Palo Alto,"$634,570,000","$2,538,280,000",105.95%,52.88%,"$434,420,000","$1,737,680,000",299.87%,36.20%,"$567,600,000",69.89%,"KKR, Orient Hontai Capital",$2 billion,830,"$5,783,100",Mobile advertising platform geared towards app developers to optimize their app listings and targeted ads.,"","",http://www.applovin.com,http://investors.applovin.com,https://www.sec.gov/Archives/edgar/data/1751008/000119312521065782/d73804ds1.htm,https://www.sec.gov/Archives/edgar/data/1751008/000175100824000012/app-20231231.htm
Asana,ASAN,$21.98,5027.0,Oct 2024,"$183,880,000","$735,520,000",10.44%,6.83,"228,707,916",2020,2008,"Dustin Moskovitz, Justin Rosenstein",San Francisco,"-$55,740,000","-$222,960,000",6.92%,-30.31%,"-$57,330,000","-$229,320,000",7.16%,-31.18%,"$455,310,000",-14.10%,"Generation Investment Management, 8VC, Founders Fund",$213.2 million,1800,"$408,600","Project management solution for task management, collaboration, and progress tracking.","","",http://www.asana.com,http://investors.asana.com,https://www.sec.gov/Archives/edgar/data/1477720/000119312520228462/d855753ds1.htm,https://www.sec.gov/Archives/edgar/data/1477720/000147772024000011/asan-20240131.htm
Autodesk,ADSK,$301.23,64764.0,Oct 2024,"$1,570,000,000","$6,280,000,000",11.03%,10.31,"214,998,506",1994,1982,"John Walker, Dan Drake",San Rafael,"$367,000,000","$1,468,000,000",2.23%,23.38%,"$275,000,000","$1,100,000,000",14.11%,17.52%,"$1,710,000,000",-12.33%,"Crosspoint Venture Partners, Sequoia Capital",$26 million,13900,"$451,800","Design and engineering software for various industries, including architecture, engineering, construction, and manufacturing.","","",http://www.autodesk.com,http://investors.autodesk.com,"",https://www.sec.gov/Archives/edgar/data/769397/000076939724000090/adsk-20240131.htm
Backblaze,BLZE,$6.37,322.0,Sep 2024,"$32,590,000","$130,360,000",28.82%,2.47,"50,549,451",2021,2007,"Gleb Budman, Brian Wilson",San Mateo,"-$6,770,000","-$27,080,000",32.20%,-20.77%,"-$12,750,000","-$51,000,000",20.57%,-39.12%,"$20,880,000",-29.81%,"T. Rowe Price, Bessemer Venture Partners",$5.3 million,420,"$310,400",Cloud backup and storage solution.,"","",http://www.backblaze.com,http://ir.backblaze.com,https://www.sec.gov/Archives/edgar/data/1462056/000119312521301141/d62601ds1.htm,https://www.sec.gov/Archives/edgar/data/1462056/000146205624000033/blze-20231231.htm
BILL Holdings,BILL,$87.04,9008.0,Sep 2024,"$358,450,000","$1,433,800,000",17.53%,6.28,"103,492,647",2019,2006,René Lacerte,San Jose,"$12,410,000","$49,640,000",137.94%,3.46%,"$8,910,000","$35,640,000",131.99%,2.49%,"$1,470,000,000",-44.34%,"Mastercard, Franklin Templeton, Bank of America",$345 million,2600,"$551,500",Cloud-based software to streamline and automate accounts payable and accounts receivable processes,"","",http://www.bill.com,http://investor.bill.com,https://www.sec.gov/Archives/edgar/data/1786352/000119312519293348/d710902ds1.htm,https://www.sec.gov/Archives/edgar/data/1786352/000178635224000035/bill-20240630.htm
Blend Labs,BLND,$4.50,1152.0,Sep 2024,"$45,180,000","$180,720,000",11.32%,6.37,"256,000,000",2021,2012,"Nima Ghamsari, Erin Collard, Rosco Hill",San Francisco,"-$6,470,000","-$25,880,000",75.55%,-14.32%,"-$2,440,000","-$9,760,000",94.15%,-5.40%,"$116,780,000",-52.33%,"General Atlantic, Tiger Global Management, 8VC",$665 million,1580,"$114,400",A digital lending platform for financial institutions geared towards the automation of the lending process.,"","",http://www.blend.com,http://investor.blend.com,https://www.sec.gov/Archives/edgar/data/1855747/000119312521194971/d162671ds1.htm,https://www.sec.gov/Archives/edgar/data/1855747/000185574724000015/blnd-20231231.htm
Box,BOX,$32.02,4601.0,Oct 2024,"$275,910,000","$1,103,640,000",5.50%,4.17,"143,691,443",2015,2005,"Aaron Levie, Dylan Smith",Redwood City,"$29,340,000","$117,360,000",13.31%,10.63%,"$12,890,000","$51,560,000",20.99%,4.67%,"$697,920,000",58.72%,"Draper Fisher Jurvetson, U.S. Venture Partners, Scale Venture Partners",$547 million,2560,"$431,100","Content management and file sharing platform for file storage, access management, and collaboration.","","",http://www.box.com,http://www.boxinvestorrelations.com,https://www.sec.gov/Archives/edgar/data/1372612/000119312514112417/d642425ds1.htm,https://www.sec.gov/Archives/edgar/data/1372612/000095017024029241/box-20240131.htm
C3 AI,AI,$35.71,4609.0,Oct 2024,"$94,340,000","$377,360,000",28.83%,12.21,"129,067,488",2020,2009,Thomas M. Siebel,Redwood City,"-$72,320,000","-$289,280,000",5.14%,-76.66%,"-$65,970,000","-$263,880,000",5.46%,-69.93%,"$730,370,000",-4.18%,"TPG, Breyer Capital, and Sutter Hill Ventures",$1.4 billion,930,"$405,800",Enterprise AI software for developing and deploying AI applications for various industries.,"","",http://www.c3.ai,http://ir.c3.ai,https://www.sec.gov/Archives/edgar/data/1577526/000162828020016443/c3ais-1.htm,https://www.sec.gov/Archives/edgar/data/1577526/000162828024028786/ai-20240430.htm
